Running polar code unit tests...
  [PASS] encoder vs matrix
  [PASS] GA construction N=8,K=4
  [PASS] SC high-SNR (N=64,K=32, 100 frames)
  [PASS] SC recursive == non-recursive
  [PASS] SCL L=1 == SC
  [PASS] CRC-8
  [PASS] BP noiseless
All unit tests passed.

============================================================
SC 仿真: N=256, K=128, R=0.5
============================================================
  Eb/N0=0.00dB | BLER=1.0000e+00 | BER=4.8258e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=0.25dB | BLER=1.0000e+00 | BER=4.8469e-01 | Errors=100 | Frames=100 | AvgTime=2.74ms
  Eb/N0=0.50dB | BLER=1.0000e+00 | BER=4.6234e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=0.75dB | BLER=1.0000e+00 | BER=4.6719e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.6633e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.7742e-01 | Errors=100 | Frames=100 | AvgTime=2.75ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.7750e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.7047e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.5656e-01 | Errors=100 | Frames=100 | AvgTime=2.72ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.5758e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.5508e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.5258e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.4055e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=4.5062e-01 | Errors=100 | Frames=100 | AvgTime=2.74ms
