eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
0.0000,1.000000e+00,4.429688e-01,20,20,134.367669,50.0000
0.5000,1.000000e+00,4.500000e-01,20,20,134.652423,50.0000
1.0000,1.000000e+00,4.382813e-01,20,20,134.508205,50.0000
1.5000,1.000000e+00,3.851562e-01,20,20,134.445753,50.0000
2.0000,1.000000e+00,4.664063e-01,20,20,134.560021,50.0000
2.5000,1.000000e+00,4.367187e-01,20,20,134.634363,50.0000
3.0000,1.000000e+00,3.648438e-01,20,20,134.473590,50.0000
3.5000,1.000000e+00,3.718750e-01,20,20,134.575827,50.0000
4.0000,1.000000e+00,3.835938e-01,20,20,134.635700,50.0000
4.5000,1.000000e+00,3.296875e-01,20,20,134.583290,50.0000
5.0000,9.523810e-01,3.616071e-01,20,21,128.282435,47.6667
5.5000,1.000000e+00,3.789062e-01,20,20,134.501284,50.0000
