运行单元测试...
✓ 编码器测试通过
✓ SC 译码无损测试通过
✓ SCL(L=1) 等价 SC 测试通过
✓ CRC 测试通过
✓ BP 译码测试通过 (iters=1)
单元测试通过。


============================================================
SC 仿真: N=256, K=128, R=0.5
============================================================
  Eb/N0=0.00dB | BLER=1.0000e+00 | BER=4.9320e-01 | Errors=100 | Frames=100 | AvgTime=25.74ms
  Eb/N0=0.25dB | BLER=1.0000e+00 | BER=4.9828e-01 | Errors=100 | Frames=100 | AvgTime=25.89ms
  Eb/N0=0.50dB | BLER=1.0000e+00 | BER=4.9070e-01 | Errors=100 | Frames=100 | AvgTime=25.90ms
  Eb/N0=0.75dB | BLER=1.0000e+00 | BER=4.8523e-01 | Errors=100 | Frames=100 | AvgTime=25.92ms
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.7930e-01 | Errors=100 | Frames=100 | AvgTime=25.90ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.8219e-01 | Errors=100 | Frames=100 | AvgTime=26.01ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.8711e-01 | Errors=100 | Frames=100 | AvgTime=26.08ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.8258e-01 | Errors=100 | Frames=100 | AvgTime=26.05ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.8219e-01 | Errors=100 | Frames=100 | AvgTime=25.69ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.6977e-01 | Errors=100 | Frames=100 | AvgTime=25.71ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.7172e-01 | Errors=100 | Frames=100 | AvgTime=25.72ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.7602e-01 | Errors=100 | Frames=100 | AvgTime=26.02ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.6937e-01 | Errors=100 | Frames=100 | AvgTime=26.62ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=4.6883e-01 | Errors=100 | Frames=100 | AvgTime=25.92ms
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=4.6187e-01 | Errors=100 | Frames=100 | AvgTime=26.47ms
  Eb/N0=3.75dB | BLER=1.0000e+00 | BER=4.5883e-01 | Errors=100 | Frames=100 | AvgTime=25.68ms
  Eb/N0=4.00dB | BLER=1.0000e+00 | BER=4.5312e-01 | Errors=100 | Frames=100 | AvgTime=26.40ms
  Eb/N0=4.25dB | BLER=1.0000e+00 | BER=4.4219e-01 | Errors=100 | Frames=100 | AvgTime=25.63ms
  Eb/N0=4.50dB | BLER=1.0000e+00 | BER=4.3266e-01 | Errors=100 | Frames=100 | AvgTime=26.45ms
  Eb/N0=4.75dB | BLER=1.0000e+00 | BER=4.2297e-01 | Errors=100 | Frames=100 | AvgTime=26.49ms
  Eb/N0=5.00dB | BLER=1.0000e+00 | BER=3.9680e-01 | Errors=100 | Frames=100 | AvgTime=25.83ms
  Eb/N0=5.25dB | BLER=1.0000e+00 | BER=3.8969e-01 | Errors=100 | Frames=100 | AvgTime=25.96ms
  Eb/N0=5.50dB | BLER=1.0000e+00 | BER=4.0055e-01 | Errors=100 | Frames=100 | AvgTime=25.92ms
  Eb/N0=5.75dB | BLER=1.0000e+00 | BER=3.8438e-01 | Errors=100 | Frames=100 | AvgTime=26.93ms
  Eb/N0=6.00dB | BLER=1.0000e+00 | BER=3.3734e-01 | Errors=100 | Frames=100 | AvgTime=25.74ms
  Eb/N0=6.25dB | BLER=1.0000e+00 | BER=3.0688e-01 | Errors=100 | Frames=100 | AvgTime=25.63ms
  Eb/N0=6.50dB | BLER=9.6154e-01 | BER=3.0379e-01 | Errors=100 | Frames=104 | AvgTime=26.36ms
