所有单元测试通过。

============================================================
SC 仿真: N=256, K=128, R=0.5
============================================================
  Eb/N0=0.00dB | BLER=1.0000e+00 | BER=4.8961e-01 | Errors=100 | Frames=100 | AvgTime=2.78ms
  Eb/N0=0.25dB | BLER=1.0000e+00 | BER=4.8828e-01 | Errors=100 | Frames=100 | AvgTime=2.72ms
  Eb/N0=0.50dB | BLER=1.0000e+00 | BER=4.9516e-01 | Errors=100 | Frames=100 | AvgTime=2.71ms
  Eb/N0=0.75dB | BLER=1.0000e+00 | BER=4.9430e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.9023e-01 | Errors=100 | Frames=100 | AvgTime=2.71ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.7680e-01 | Errors=100 | Frames=100 | AvgTime=2.72ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.7883e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.8227e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.8320e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.7469e-01 | Errors=100 | Frames=100 | AvgTime=2.71ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.8570e-01 | Errors=100 | Frames=100 | AvgTime=2.71ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.7422e-01 | Errors=100 | Frames=100 | AvgTime=2.71ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.5852e-01 | Errors=100 | Frames=100 | AvgTime=2.72ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=4.7508e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=4.5641e-01 | Errors=100 | Frames=100 | AvgTime=2.79ms
  Eb/N0=3.75dB | BLER=1.0000e+00 | BER=4.6813e-01 | Errors=100 | Frames=100 | AvgTime=2.74ms
  Eb/N0=4.00dB | BLER=1.0000e+00 | BER=4.6539e-01 | Errors=100 | Frames=100 | AvgTime=2.71ms
  Eb/N0=4.25dB | BLER=1.0000e+00 | BER=4.1820e-01 | Errors=100 | Frames=100 | AvgTime=2.71ms
  Eb/N0=4.50dB | BLER=1.0000e+00 | BER=4.2672e-01 | Errors=100 | Frames=100 | AvgTime=2.72ms
  Eb/N0=4.75dB | BLER=1.0000e+00 | BER=4.2164e-01 | Errors=100 | Frames=100 | AvgTime=2.71ms
  Eb/N0=5.00dB | BLER=9.9010e-01 | BER=3.9503e-01 | Errors=100 | Frames=101 | AvgTime=2.72ms
  Eb/N0=5.25dB | BLER=1.0000e+00 | BER=4.0047e-01 | Errors=100 | Frames=100 | AvgTime=2.73ms
  Eb/N0=5.50dB | BLER=9.8039e-01 | BER=3.6742e-01 | Errors=100 | Frames=102 | AvgTime=2.82ms
  Eb/N0=5.75dB | BLER=9.8039e-01 | BER=3.3111e-01 | Errors=100 | Frames=102 | AvgTime=2.73ms
  Eb/N0=6.00dB | BLER=9.9010e-01 | BER=3.2797e-01 | Errors=100 | Frames=101 | AvgTime=2.72ms
  Eb/N0=6.25dB | BLER=9.5238e-01 | BER=2.9524e-01 | Errors=100 | Frames=105 | AvgTime=2.72ms
  Eb/N0=6.50dB | BLER=9.4340e-01 | BER=2.7336e-01 | Errors=100 | Frames=106 | AvgTime=2.73ms
  Eb/N0=6.75dB | BLER=9.8039e-01 | BER=2.8385e-01 | Errors=100 | Frames=102 | AvgTime=2.73ms
  Eb/N0=7.00dB | BLER=9.3458e-01 | BER=2.5343e-01 | Errors=100 | Frames=107 | AvgTime=2.72ms
  Eb/N0=7.25dB | BLER=9.4340e-01 | BER=2.4145e-01 | Errors=100 | Frames=106 | AvgTime=2.72ms
  Eb/N0=7.50dB | BLER=9.0909e-01 | BER=1.7848e-01 | Errors=100 | Frames=110 | AvgTime=2.73ms
  Eb/N0=7.75dB | BLER=8.6207e-01 | BER=1.7699e-01 | Errors=100 | Frames=116 | AvgTime=2.73ms
  Eb/N0=8.00dB | BLER=7.6336e-01 | BER=1.5297e-01 | Errors=100 | Frames=131 | AvgTime=2.72ms
  Eb/N0=8.25dB | BLER=6.6225e-01 | BER=1.2645e-01 | Errors=100 | Frames=151 | AvgTime=2.72ms

============================================================
SC 仿真: N=512, K=256, R=0.5
============================================================
  Eb/N0=0.00dB | BLER=1.0000e+00 | BER=4.9719e-01 | Errors=100 | Frames=100 | AvgTime=6.15ms
  Eb/N0=0.25dB | BLER=1.0000e+00 | BER=4.9562e-01 | Errors=100 | Frames=100 | AvgTime=6.16ms
  Eb/N0=0.50dB | BLER=1.0000e+00 | BER=4.9684e-01 | Errors=100 | Frames=100 | AvgTime=6.15ms
  Eb/N0=0.75dB | BLER=1.0000e+00 | BER=4.9582e-01 | Errors=100 | Frames=100 | AvgTime=6.15ms
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.9449e-01 | Errors=100 | Frames=100 | AvgTime=6.16ms
