eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
0.0000,9.523810e-01,4.099702e-01,20,21,1.202010,
0.5000,9.523810e-01,3.757440e-01,20,21,1.194665,
1.0000,1.000000e+00,4.335938e-01,20,20,1.195886,
1.5000,9.523810e-01,3.169643e-01,20,21,1.204176,
2.0000,9.523810e-01,3.377976e-01,20,21,1.207067,
2.5000,1.000000e+00,2.898438e-01,20,20,1.199200,
3.0000,9.523810e-01,2.857143e-01,20,21,1.198780,
3.5000,6.896552e-01,1.654095e-01,20,29,1.208325,
4.0000,8.000000e-01,1.900000e-01,20,25,1.228149,
4.5000,3.703704e-01,9.606481e-02,20,54,1.201299,
5.0000,2.222222e-01,3.697917e-02,20,90,1.202355,
5.5000,1.587302e-01,3.000992e-02,20,126,1.196170,
