eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
0.0000,9.090909e-01,3.473011e-01,20,22,11.543024,
0.5000,9.523810e-01,3.541667e-01,20,21,11.531756,
1.0000,8.695652e-01,3.172554e-01,20,23,11.528233,
1.5000,7.407407e-01,2.106481e-01,20,27,11.502329,
2.0000,7.407407e-01,1.487269e-01,20,27,11.501995,
2.5000,5.714286e-01,1.299107e-01,20,35,11.500459,
3.0000,4.878049e-01,9.527439e-02,20,41,11.503948,
3.5000,2.247191e-01,4.389045e-02,20,89,11.508935,
4.0000,1.117318e-01,1.545042e-02,20,179,11.501323,
4.5000,5.037783e-02,9.839421e-03,20,397,11.500693,
5.0000,8.000000e-03,1.000000e-03,4,500,11.503335,
5.5000,0.000000e+00,0.000000e+00,0,500,11.509194,
