CA-SCL 仿真...
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.5444e-01 | Errors=50 | Frames=50 | AvgTime=85.54ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.5008e-01 | Errors=50 | Frames=50 | AvgTime=85.59ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.7468e-01 | Errors=50 | Frames=50 | AvgTime=85.72ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.5927e-01 | Errors=50 | Frames=50 | AvgTime=85.74ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.3815e-01 | Errors=50 | Frames=50 | AvgTime=85.61ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.5177e-01 | Errors=50 | Frames=50 | AvgTime=85.68ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.1887e-01 | Errors=50 | Frames=50 | AvgTime=85.64ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.3556e-01 | Errors=50 | Frames=50 | AvgTime=85.57ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.1226e-01 | Errors=50 | Frames=50 | AvgTime=85.75ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=4.0984e-01 | Errors=50 | Frames=50 | AvgTime=85.71ms
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=3.8710e-01 | Errors=50 | Frames=50 | AvgTime=88.70ms
  Eb/N0=3.75dB | BLER=1.0000e+00 | BER=3.8573e-01 | Errors=50 | Frames=50 | AvgTime=86.09ms
  Eb/N0=4.00dB | BLER=1.0000e+00 | BER=3.8234e-01 | Errors=50 | Frames=50 | AvgTime=88.64ms
  Eb/N0=4.25dB | BLER=1.0000e+00 | BER=3.5194e-01 | Errors=50 | Frames=50 | AvgTime=86.03ms
  Eb/N0=4.50dB | BLER=1.0000e+00 | BER=3.2589e-01 | Errors=50 | Frames=50 | AvgTime=86.17ms
  Eb/N0=4.75dB | BLER=1.0000e+00 | BER=2.7516e-01 | Errors=50 | Frames=50 | AvgTime=86.00ms
  Eb/N0=5.00dB | BLER=1.0000e+00 | BER=2.8726e-01 | Errors=50 | Frames=50 | AvgTime=85.91ms
  Eb/N0=5.25dB | BLER=1.0000e+00 | BER=3.0040e-01 | Errors=50 | Frames=50 | AvgTime=86.01ms
  Eb/N0=5.50dB | BLER=9.8039e-01 | BER=2.3624e-01 | Errors=50 | Frames=51 | AvgTime=85.91ms
  Eb/N0=5.75dB | BLER=9.6154e-01 | BER=2.0037e-01 | Errors=50 | Frames=52 | AvgTime=85.83ms
  Eb/N0=6.00dB | BLER=1.0000e+00 | BER=1.8081e-01 | Errors=50 | Frames=50 | AvgTime=85.73ms
  Eb/N0=6.25dB | BLER=9.4340e-01 | BER=1.2713e-01 | Errors=50 | Frames=53 | AvgTime=85.74ms
  Eb/N0=6.50dB | BLER=9.6154e-01 | BER=1.1965e-01 | Errors=50 | Frames=52 | AvgTime=85.80ms
  Eb/N0=6.75dB | BLER=8.9286e-01 | BER=9.5910e-02 | Errors=50 | Frames=56 | AvgTime=85.70ms
  Eb/N0=7.00dB | BLER=7.5758e-01 | BER=6.5799e-02 | Errors=50 | Frames=66 | AvgTime=85.69ms
  Eb/N0=7.50dB | BLER=5.2632e-01 | BER=3.5908e-02 | Errors=50 | Frames=95 | AvgTime=86.24ms
  Eb/N0=8.00dB | BLER=2.4272e-01 | BER=1.4544e-02 | Errors=50 | Frames=206 | AvgTime=85.94ms
  Eb/N0=8.50dB | BLER=7.8740e-02 | BER=3.0226e-03 | Errors=50 | Frames=635 | AvgTime=85.86ms
  Eb/N0=9.00dB | BLER=1.5110e-02 | BER=6.0076e-04 | Errors=50 | Frames=3309 | AvgTime=85.84ms
CA-SCL 补跑完成。
