eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
3.0000,1.000000e+00,4.205645e-01,20,20,81.812608,
3.5000,1.000000e+00,4.074597e-01,20,20,81.915724,
4.0000,1.000000e+00,3.538306e-01,20,20,81.895222,
4.5000,1.000000e+00,3.502016e-01,20,20,82.020689,
5.0000,1.000000e+00,3.155242e-01,20,20,82.239431,
5.5000,9.523810e-01,2.653610e-01,20,21,82.002016,
6.0000,1.000000e+00,2.278226e-01,20,20,84.401384,
6.5000,7.692308e-01,8.855459e-02,20,26,82.138678,
7.0000,8.333333e-01,7.795699e-02,20,24,82.328355,
7.5000,4.878049e-01,3.176633e-02,20,41,82.170681,
8.0000,2.040816e-01,8.722844e-03,20,98,82.038889,
