运行单元测试...
✓ 编码器测试通过
✓ SC 译码无损测试通过
✓ SCL(L=1) 等价 SC 测试通过
✓ CRC 测试通过
✓ BP 译码测试通过 (iters=1)
单元测试通过。

SC 基线 (L=1)
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.9141e-01 | Errors=100 | Frames=100 | AvgTime=96.67ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=5.0148e-01 | Errors=100 | Frames=100 | AvgTime=96.78ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.9223e-01 | Errors=100 | Frames=100 | AvgTime=96.79ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.9715e-01 | Errors=100 | Frames=100 | AvgTime=98.42ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.8891e-01 | Errors=100 | Frames=100 | AvgTime=97.03ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.8977e-01 | Errors=100 | Frames=100 | AvgTime=97.51ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.9320e-01 | Errors=100 | Frames=100 | AvgTime=96.16ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.8406e-01 | Errors=100 | Frames=100 | AvgTime=96.15ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.8871e-01 | Errors=100 | Frames=100 | AvgTime=96.47ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=4.9254e-01 | Errors=100 | Frames=100 | AvgTime=96.03ms
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=4.8199e-01 | Errors=100 | Frames=100 | AvgTime=96.55ms
  Eb/N0=3.75dB | BLER=1.0000e+00 | BER=4.9020e-01 | Errors=100 | Frames=100 | AvgTime=97.66ms
  Eb/N0=4.00dB | BLER=1.0000e+00 | BER=4.7949e-01 | Errors=100 | Frames=100 | AvgTime=95.89ms
  Eb/N0=4.25dB | BLER=1.0000e+00 | BER=4.7652e-01 | Errors=100 | Frames=100 | AvgTime=96.43ms
  Eb/N0=4.50dB | BLER=1.0000e+00 | BER=4.7961e-01 | Errors=100 | Frames=100 | AvgTime=95.65ms
  Eb/N0=4.75dB | BLER=1.0000e+00 | BER=4.7363e-01 | Errors=100 | Frames=100 | AvgTime=95.68ms
