所有单元测试通过。

SC 基线仿真 (L=1)
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.9586e-01 | Errors=100 | Frames=100 | AvgTime=6.26ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.9703e-01 | Errors=100 | Frames=100 | AvgTime=6.19ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.9891e-01 | Errors=100 | Frames=100 | AvgTime=6.20ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=5.0051e-01 | Errors=100 | Frames=100 | AvgTime=6.18ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.9371e-01 | Errors=100 | Frames=100 | AvgTime=6.17ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.9262e-01 | Errors=100 | Frames=100 | AvgTime=6.18ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.9473e-01 | Errors=100 | Frames=100 | AvgTime=6.17ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.9691e-01 | Errors=100 | Frames=100 | AvgTime=6.15ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.9137e-01 | Errors=100 | Frames=100 | AvgTime=6.15ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=4.8477e-01 | Errors=100 | Frames=100 | AvgTime=6.13ms
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=4.8375e-01 | Errors=100 | Frames=100 | AvgTime=6.17ms
  Eb/N0=3.75dB | BLER=1.0000e+00 | BER=4.8332e-01 | Errors=100 | Frames=100 | AvgTime=6.36ms
  Eb/N0=4.00dB | BLER=1.0000e+00 | BER=4.8086e-01 | Errors=100 | Frames=100 | AvgTime=6.19ms
  Eb/N0=4.25dB | BLER=1.0000e+00 | BER=4.7559e-01 | Errors=100 | Frames=100 | AvgTime=6.14ms
  Eb/N0=4.50dB | BLER=1.0000e+00 | BER=4.7734e-01 | Errors=100 | Frames=100 | AvgTime=6.14ms
  Eb/N0=4.75dB | BLER=1.0000e+00 | BER=4.6742e-01 | Errors=100 | Frames=100 | AvgTime=6.14ms
  Eb/N0=5.00dB | BLER=1.0000e+00 | BER=4.5980e-01 | Errors=100 | Frames=100 | AvgTime=6.13ms
  Eb/N0=5.25dB | BLER=1.0000e+00 | BER=4.6758e-01 | Errors=100 | Frames=100 | AvgTime=6.12ms
  Eb/N0=5.50dB | BLER=1.0000e+00 | BER=4.4414e-01 | Errors=100 | Frames=100 | AvgTime=6.13ms
  Eb/N0=5.75dB | BLER=1.0000e+00 | BER=4.4117e-01 | Errors=100 | Frames=100 | AvgTime=6.13ms
  Eb/N0=6.00dB | BLER=1.0000e+00 | BER=4.2258e-01 | Errors=100 | Frames=100 | AvgTime=6.13ms
  Eb/N0=6.25dB | BLER=1.0000e+00 | BER=4.1207e-01 | Errors=100 | Frames=100 | AvgTime=6.13ms
  Eb/N0=6.50dB | BLER=9.9010e-01 | BER=3.8420e-01 | Errors=100 | Frames=101 | AvgTime=6.13ms
  Eb/N0=6.75dB | BLER=1.0000e+00 | BER=3.8707e-01 | Errors=100 | Frames=100 | AvgTime=6.15ms
  Eb/N0=7.00dB | BLER=9.9010e-01 | BER=3.2762e-01 | Errors=100 | Frames=101 | AvgTime=6.15ms
  Eb/N0=7.25dB | BLER=9.8039e-01 | BER=3.1089e-01 | Errors=100 | Frames=102 | AvgTime=6.13ms
  Eb/N0=7.50dB | BLER=9.7087e-01 | BER=2.6889e-01 | Errors=100 | Frames=103 | AvgTime=6.14ms
  Eb/N0=7.75dB | BLER=9.3458e-01 | BER=2.4266e-01 | Errors=100 | Frames=107 | AvgTime=6.13ms
  Eb/N0=8.00dB | BLER=9.6154e-01 | BER=2.2641e-01 | Errors=100 | Frames=104 | AvgTime=6.12ms
  Eb/N0=8.25dB | BLER=9.0909e-01 | BER=1.7955e-01 | Errors=100 | Frames=110 | AvgTime=6.12ms

SCL 仿真: N=512, K=256, L=2
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.9176e-01 | Errors=100 | Frames=100 | AvgTime=16.82ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.9238e-01 | Errors=100 | Frames=100 | AvgTime=16.81ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.9551e-01 | Errors=100 | Frames=100 | AvgTime=16.82ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.8664e-01 | Errors=100 | Frames=100 | AvgTime=16.82ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.8973e-01 | Errors=100 | Frames=100 | AvgTime=16.95ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.8273e-01 | Errors=100 | Frames=100 | AvgTime=16.90ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.8559e-01 | Errors=100 | Frames=100 | AvgTime=16.83ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.7609e-01 | Errors=100 | Frames=100 | AvgTime=16.88ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.7652e-01 | Errors=100 | Frames=100 | AvgTime=16.82ms
