eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,8.000000e-01,2.262500e-01,20,25,22.435173,
1.5000,8.000000e-01,2.543750e-01,20,25,22.423001,
2.0000,5.882353e-01,1.337316e-01,20,34,22.456974,
2.5000,3.278689e-01,5.686475e-02,20,61,22.413028,
3.0000,2.777778e-01,5.034722e-02,20,72,22.401469,
3.5000,9.523810e-02,1.242560e-02,20,210,22.398300,
4.0000,4.784689e-02,8.074163e-03,20,418,22.395851,
4.5000,8.000000e-03,9.375000e-04,4,500,22.399680,
5.0000,0.000000e+00,0.000000e+00,0,500,22.448114,
5.5000,2.000000e-03,1.250000e-04,1,500,22.394137,
