eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,1.000000e+00,4.794922e-01,100,100,69.367178,
1.5000,1.000000e+00,4.706250e-01,100,100,69.371077,
2.0000,1.000000e+00,4.708203e-01,100,100,69.271372,
2.5000,1.000000e+00,4.574219e-01,100,100,69.360296,
3.0000,1.000000e+00,4.479297e-01,100,100,69.515302,
3.5000,1.000000e+00,4.340234e-01,100,100,69.623737,
4.0000,1.000000e+00,4.296875e-01,100,100,69.378643,
4.5000,1.000000e+00,3.764844e-01,100,100,69.391124,
5.0000,1.000000e+00,3.579688e-01,100,100,69.315078,
5.5000,1.000000e+00,3.130078e-01,100,100,69.339555,
6.0000,1.000000e+00,2.527734e-01,100,100,69.396126,
6.5000,9.433962e-01,1.968234e-01,100,106,69.334313,
7.0000,8.771930e-01,1.414131e-01,100,114,69.695558,
7.5000,6.756757e-01,7.221284e-02,100,148,69.645141,
8.0000,4.098361e-01,4.292072e-02,100,244,70.186485,
