eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,1.000000e+00,4.037500e-01,20,20,26.854510,
1.5000,9.523810e-01,3.920635e-01,20,21,26.847543,
2.0000,1.000000e+00,3.366667e-01,20,20,26.822122,
2.5000,7.692308e-01,2.224359e-01,20,26,26.820000,
3.0000,7.407407e-01,1.867284e-01,20,27,26.848366,
3.5000,6.896552e-01,1.316092e-01,20,29,26.942979,
4.0000,1.626016e-01,3.462060e-02,20,123,26.993811,
4.5000,8.849558e-02,1.415929e-02,20,226,26.992259,
5.0000,2.400000e-02,3.200000e-03,12,500,27.010973,
5.5000,2.000000e-03,1.500000e-04,1,500,27.007967,
