/workspace/polar_codes/utils.py:68: RuntimeWarning: overflow encountered in exp
  return np.log2(1.0 + np.exp(-2.0 * snr * y)) * np.exp(-(y ** 2) / (2.0 * sigma ** 2))
/workspace/polar_codes/utils.py:68: RuntimeWarning: invalid value encountered in scalar multiply
  return np.log2(1.0 + np.exp(-2.0 * snr * y)) * np.exp(-(y ** 2) / (2.0 * sigma ** 2))
/workspace/polar_codes/utils.py:70: IntegrationWarning: The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
  val, _ = integrate.quad(integrand, -np.inf, np.inf)

BP 仿真: N=256, K=128
  Eb/N0=1.00dB | BLER=5.2910e-01 | BER=1.5774e-01 | Errors=100 | Frames=189 | AvgTime=8.87ms | AvgIter=50.0
  Eb/N0=1.25dB | BLER=4.0000e-01 | BER=1.0550e-01 | Errors=100 | Frames=250 | AvgTime=8.90ms | AvgIter=50.0
  Eb/N0=1.50dB | BLER=2.4570e-01 | BER=5.5014e-02 | Errors=100 | Frames=407 | AvgTime=8.87ms | AvgIter=50.0
  Eb/N0=1.75dB | BLER=1.8282e-01 | BER=4.5204e-02 | Errors=100 | Frames=547 | AvgTime=8.87ms | AvgIter=50.0
  Eb/N0=2.00dB | BLER=1.1099e-01 | BER=2.0706e-02 | Errors=100 | Frames=901 | AvgTime=8.86ms | AvgIter=50.0
  Eb/N0=2.25dB | BLER=6.5445e-02 | BER=1.1642e-02 | Errors=100 | Frames=1528 | AvgTime=8.92ms | AvgIter=50.0
  Eb/N0=2.50dB | BLER=3.9872e-02 | BER=6.3297e-03 | Errors=100 | Frames=2508 | AvgTime=8.87ms | AvgIter=50.0
  Eb/N0=2.75dB | BLER=2.1263e-02 | BER=2.9702e-03 | Errors=100 | Frames=4703 | AvgTime=8.87ms | AvgIter=50.0
  Eb/N0=3.00dB | BLER=8.4825e-03 | BER=1.1219e-03 | Errors=100 | Frames=11789 | AvgTime=8.86ms | AvgIter=50.0
  Eb/N0=3.25dB | BLER=4.2421e-03 | BER=5.5943e-04 | Errors=100 | Frames=23573 | AvgTime=8.88ms | AvgIter=50.0
  Eb/N0=3.50dB | BLER=2.1333e-03 | BER=2.2917e-04 | Errors=64 | Frames=30000 | AvgTime=8.87ms | AvgIter=50.0
  Eb/N0=3.75dB | BLER=1.4333e-03 | BER=1.2891e-04 | Errors=43 | Frames=30000 | AvgTime=8.87ms | AvgIter=50.0
  Eb/N0=4.00dB | BLER=8.3333e-04 | BER=8.1771e-05 | Errors=25 | Frames=30000 | AvgTime=8.88ms | AvgIter=50.0
  Eb/N0=4.25dB | BLER=3.0000e-04 | BER=1.5885e-05 | Errors=9 | Frames=30000 | AvgTime=8.88ms | AvgIter=50.0
  Eb/N0=4.50dB | BLER=2.0000e-04 | BER=1.1979e-05 | Errors=6 | Frames=30000 | AvgTime=8.88ms | AvgIter=50.0
  Eb/N0=4.75dB | BLER=6.6667e-05 | BER=1.3021e-06 | Errors=2 | Frames=30000 | AvgTime=8.87ms | AvgIter=50.0
  Eb/N0=5.00dB | BLER=1.0000e-04 | BER=5.7292e-06 | Errors=3 | Frames=30000 | AvgTime=8.86ms | AvgIter=50.0
  Eb/N0=5.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=30000 | AvgTime=8.88ms | AvgIter=50.0

BP 仿真: N=512, K=256
  Eb/N0=1.00dB | BLER=6.4103e-01 | BER=2.0355e-01 | Errors=100 | Frames=156 | AvgTime=14.57ms | AvgIter=50.0
  Eb/N0=1.25dB | BLER=4.8780e-01 | BER=1.3279e-01 | Errors=100 | Frames=205 | AvgTime=14.55ms | AvgIter=50.0
  Eb/N0=1.50dB | BLER=2.5641e-01 | BER=5.8303e-02 | Errors=100 | Frames=390 | AvgTime=14.55ms | AvgIter=50.0
  Eb/N0=1.75dB | BLER=1.5456e-01 | BER=2.6873e-02 | Errors=100 | Frames=647 | AvgTime=14.57ms | AvgIter=50.0
  Eb/N0=2.00dB | BLER=7.8989e-02 | BER=1.4746e-02 | Errors=100 | Frames=1266 | AvgTime=14.55ms | AvgIter=50.0
  Eb/N0=2.25dB | BLER=5.2329e-02 | BER=6.5738e-03 | Errors=100 | Frames=1911 | AvgTime=14.61ms | AvgIter=50.0
  Eb/N0=2.50dB | BLER=1.7624e-02 | BER=2.3159e-03 | Errors=100 | Frames=5674 | AvgTime=14.61ms | AvgIter=50.0
  Eb/N0=2.75dB | BLER=1.1988e-02 | BER=1.1505e-03 | Errors=100 | Frames=8342 | AvgTime=14.60ms | AvgIter=50.0
  Eb/N0=3.00dB | BLER=3.7514e-03 | BER=3.4554e-04 | Errors=100 | Frames=26657 | AvgTime=14.58ms | AvgIter=50.0
  Eb/N0=3.25dB | BLER=1.9667e-03 | BER=1.7187e-04 | Errors=59 | Frames=30000 | AvgTime=14.58ms | AvgIter=50.0
  Eb/N0=3.50dB | BLER=9.0000e-04 | BER=7.5260e-05 | Errors=27 | Frames=30000 | AvgTime=14.57ms | AvgIter=50.0
  Eb/N0=3.75dB | BLER=2.0000e-04 | BER=2.1875e-05 | Errors=6 | Frames=30000 | AvgTime=14.56ms | AvgIter=50.0
  Eb/N0=4.00dB | BLER=6.6667e-05 | BER=4.4271e-06 | Errors=2 | Frames=30000 | AvgTime=14.57ms | AvgIter=50.0
  Eb/N0=4.25dB | BLER=3.3333e-05 | BER=9.1146e-07 | Errors=1 | Frames=30000 | AvgTime=14.59ms | AvgIter=50.0
  Eb/N0=4.50dB | BLER=3.3333e-05 | BER=2.7344e-06 | Errors=1 | Frames=30000 | AvgTime=14.57ms | AvgIter=50.0
  Eb/N0=4.75dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=30000 | AvgTime=14.62ms | AvgIter=50.0
  Eb/N0=5.00dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=30000 | AvgTime=14.63ms | AvgIter=50.0
  Eb/N0=5.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=30000 | AvgTime=14.57ms | AvgIter=50.0

实验三 BP 部分完成。
