
重跑 BP: N=256
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.3151e-01 | Errors=30 | Frames=30 | AvgTime=4158.68ms | AvgIter=15.0
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.5521e-01 | Errors=30 | Frames=30 | AvgTime=4153.16ms | AvgIter=15.0
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.1094e-01 | Errors=30 | Frames=30 | AvgTime=4148.90ms | AvgIter=15.0
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.0260e-01 | Errors=30 | Frames=30 | AvgTime=4149.42ms | AvgIter=15.0
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.1042e-01 | Errors=30 | Frames=30 | AvgTime=4255.13ms | AvgIter=15.0
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=3.1458e-01 | Errors=30 | Frames=30 | AvgTime=4148.37ms | AvgIter=15.0
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=3.4661e-01 | Errors=30 | Frames=30 | AvgTime=4263.30ms | AvgIter=15.0
  Eb/N0=2.75dB | BLER=9.6774e-01 | BER=3.4955e-01 | Errors=30 | Frames=31 | AvgTime=4170.82ms | AvgIter=15.0
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=3.4583e-01 | Errors=30 | Frames=30 | AvgTime=4191.33ms | AvgIter=15.0
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=2.9167e-01 | Errors=30 | Frames=30 | AvgTime=4221.57ms | AvgIter=15.0
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=2.9792e-01 | Errors=30 | Frames=30 | AvgTime=4206.99ms | AvgIter=15.0
  Eb/N0=3.75dB | BLER=9.6774e-01 | BER=2.2656e-01 | Errors=30 | Frames=31 | AvgTime=4193.79ms | AvgIter=15.0
