  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.9328e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.7117e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.6648e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.7187e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.5820e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.6461e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.6437e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.3266e-01 | Errors=100 | Frames=100 | AvgTime=2.59ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.4867e-01 | Errors=100 | Frames=100 | AvgTime=2.56ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=4.4562e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=4.4070e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=3.75dB | BLER=1.0000e+00 | BER=4.3766e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=4.00dB | BLER=1.0000e+00 | BER=4.1836e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=4.25dB | BLER=1.0000e+00 | BER=4.2961e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=4.50dB | BLER=1.0000e+00 | BER=4.2070e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=4.75dB | BLER=1.0000e+00 | BER=3.9492e-01 | Errors=100 | Frames=100 | AvgTime=2.57ms
  Eb/N0=5.00dB | BLER=9.9010e-01 | BER=3.9101e-01 | Errors=100 | Frames=101 | AvgTime=2.57ms
  Eb/N0=5.25dB | BLER=1.0000e+00 | BER=3.5031e-01 | Errors=100 | Frames=100 | AvgTime=2.56ms
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.5117e-01 | Errors=100 | Frames=100 | AvgTime=12.85ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.2070e-01 | Errors=100 | Frames=100 | AvgTime=12.89ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.3281e-01 | Errors=100 | Frames=100 | AvgTime=12.93ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.1594e-01 | Errors=100 | Frames=100 | AvgTime=12.85ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.2273e-01 | Errors=100 | Frames=100 | AvgTime=12.85ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.1539e-01 | Errors=100 | Frames=100 | AvgTime=12.84ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=3.8516e-01 | Errors=100 | Frames=100 | AvgTime=12.83ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=3.7305e-01 | Errors=100 | Frames=100 | AvgTime=12.88ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=3.6930e-01 | Errors=100 | Frames=100 | AvgTime=12.89ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=3.6531e-01 | Errors=100 | Frames=100 | AvgTime=12.89ms
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=3.5539e-01 | Errors=100 | Frames=100 | AvgTime=12.92ms
  Eb/N0=3.75dB | BLER=1.0000e+00 | BER=3.4313e-01 | Errors=100 | Frames=100 | AvgTime=12.91ms
  Eb/N0=4.00dB | BLER=1.0000e+00 | BER=3.2258e-01 | Errors=100 | Frames=100 | AvgTime=12.91ms
  Eb/N0=4.25dB | BLER=9.9010e-01 | BER=3.2039e-01 | Errors=100 | Frames=101 | AvgTime=12.93ms
  Eb/N0=4.50dB | BLER=9.6154e-01 | BER=2.9342e-01 | Errors=100 | Frames=104 | AvgTime=12.96ms
  Eb/N0=4.75dB | BLER=9.6154e-01 | BER=2.8561e-01 | Errors=100 | Frames=104 | AvgTime=12.97ms
  Eb/N0=5.00dB | BLER=9.6154e-01 | BER=2.4008e-01 | Errors=100 | Frames=104 | AvgTime=12.93ms
  Eb/N0=5.25dB | BLER=9.6154e-01 | BER=2.5871e-01 | Errors=100 | Frames=104 | AvgTime=12.92ms
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.6648e-01 | Errors=100 | Frames=100 | AvgTime=344.90ms | AvgIter=50.0
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.5180e-01 | Errors=100 | Frames=100 | AvgTime=344.49ms | AvgIter=50.0
