eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0,1.000000e+00,4.840625e-01,25,25,7.624084,
1.25,1.000000e+00,4.876563e-01,25,25,7.615244,
1.5,1.000000e+00,4.873438e-01,25,25,7.607153,
1.75,1.000000e+00,4.793750e-01,25,25,7.593037,
2.0,1.000000e+00,4.929688e-01,25,25,7.593151,
2.25,1.000000e+00,4.960938e-01,25,25,7.612306,
2.5,1.000000e+00,4.898438e-01,25,25,7.611545,
2.75,1.000000e+00,4.706250e-01,25,25,7.606957,
3.0,1.000000e+00,4.646875e-01,25,25,7.602273,
3.25,1.000000e+00,4.775000e-01,25,25,7.595688,
3.5,1.000000e+00,4.859375e-01,25,25,7.607565,
3.75,1.000000e+00,4.840625e-01,25,25,7.597074,
4.0,1.000000e+00,4.615625e-01,25,25,7.600952,
4.25,1.000000e+00,4.509375e-01,25,25,7.608537,
4.5,1.000000e+00,4.618750e-01,25,25,7.612104,
4.75,1.000000e+00,4.520312e-01,25,25,7.592050,
5.0,1.000000e+00,4.620313e-01,25,25,7.603645,
5.25,1.000000e+00,4.371875e-01,25,25,7.608022,
