eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.00,1.000000e+00,4.460938e-01,30,30,18.714199,
1.25,1.000000e+00,4.343750e-01,30,30,18.728755,
1.50,1.000000e+00,4.341146e-01,30,30,18.715462,
1.75,1.000000e+00,4.442708e-01,30,30,18.735924,
2.00,1.000000e+00,4.356771e-01,30,30,18.728540,
2.25,1.000000e+00,4.125000e-01,30,30,18.727836,
2.50,1.000000e+00,4.239583e-01,30,30,18.774844,
2.75,1.000000e+00,4.127604e-01,30,30,18.862979,
3.00,1.000000e+00,4.203125e-01,30,30,18.833897,
3.25,1.000000e+00,4.033854e-01,30,30,18.839351,
3.50,1.000000e+00,3.348958e-01,30,30,18.840547,
3.75,1.000000e+00,4.132812e-01,30,30,18.804044,
4.00,1.000000e+00,3.614583e-01,30,30,18.804291,
4.25,1.000000e+00,3.666667e-01,30,30,18.731150,
4.50,1.000000e+00,2.760417e-01,30,30,18.753766,
4.75,1.000000e+00,2.947917e-01,30,30,18.743642,
5.00,1.000000e+00,2.729167e-01,30,30,18.725405,
5.25,1.000000e+00,2.208333e-01,30,30,18.735444,
