/workspace/polar_codes/utils.py:80: RuntimeWarning: overflow encountered in exp
  arg = -2.0 * snr * y
/workspace/polar_codes/utils.py:80: RuntimeWarning: invalid value encountered in scalar multiply
  arg = -2.0 * snr * y
/workspace/polar_codes/utils.py:82: IntegrationWarning: The occurrence of roundoff error is detected, which prevents 
  the requested tolerance from being achieved.  The error may be 
  underestimated.
  log_term = 0.0
All unit tests passed.

============================================================
SC 仿真: N=256, K=128, R=0.5
============================================================
  Eb/N0=0.00dB | BLER=1.0000e+00 | BER=4.8977e-01 | Errors=100 | Frames=100 | AvgTime=4.97ms
  Eb/N0=0.25dB | BLER=1.0000e+00 | BER=4.9000e-01 | Errors=100 | Frames=100 | AvgTime=4.97ms
  Eb/N0=0.50dB | BLER=1.0000e+00 | BER=4.8039e-01 | Errors=100 | Frames=100 | AvgTime=4.96ms
  Eb/N0=0.75dB | BLER=1.0000e+00 | BER=4.6773e-01 | Errors=100 | Frames=100 | AvgTime=4.96ms
  Eb/N0=1.00dB | BLER=1.0000e+00 | BER=4.6641e-01 | Errors=100 | Frames=100 | AvgTime=4.97ms
  Eb/N0=1.25dB | BLER=1.0000e+00 | BER=4.7789e-01 | Errors=100 | Frames=100 | AvgTime=4.97ms
  Eb/N0=1.50dB | BLER=1.0000e+00 | BER=4.7344e-01 | Errors=100 | Frames=100 | AvgTime=4.97ms
  Eb/N0=1.75dB | BLER=1.0000e+00 | BER=4.6516e-01 | Errors=100 | Frames=100 | AvgTime=4.97ms
  Eb/N0=2.00dB | BLER=1.0000e+00 | BER=4.5836e-01 | Errors=100 | Frames=100 | AvgTime=4.97ms
  Eb/N0=2.25dB | BLER=1.0000e+00 | BER=4.5617e-01 | Errors=100 | Frames=100 | AvgTime=4.97ms
  Eb/N0=2.50dB | BLER=1.0000e+00 | BER=4.6344e-01 | Errors=100 | Frames=100 | AvgTime=4.96ms
  Eb/N0=2.75dB | BLER=1.0000e+00 | BER=4.5008e-01 | Errors=100 | Frames=100 | AvgTime=4.94ms
  Eb/N0=3.00dB | BLER=1.0000e+00 | BER=4.4828e-01 | Errors=100 | Frames=100 | AvgTime=5.10ms
  Eb/N0=3.25dB | BLER=1.0000e+00 | BER=4.3609e-01 | Errors=100 | Frames=100 | AvgTime=4.94ms
  Eb/N0=3.50dB | BLER=1.0000e+00 | BER=4.4133e-01 | Errors=100 | Frames=100 | AvgTime=4.96ms
  Eb/N0=3.75dB | BLER=1.0000e+00 | BER=4.3008e-01 | Errors=100 | Frames=100 | AvgTime=4.96ms
  Eb/N0=4.00dB | BLER=1.0000e+00 | BER=4.2195e-01 | Errors=100 | Frames=100 | AvgTime=4.98ms
  Eb/N0=4.25dB | BLER=1.0000e+00 | BER=4.1883e-01 | Errors=100 | Frames=100 | AvgTime=4.94ms
  Eb/N0=4.50dB | BLER=1.0000e+00 | BER=4.1500e-01 | Errors=100 | Frames=100 | AvgTime=4.94ms
  Eb/N0=4.75dB | BLER=1.0000e+00 | BER=4.0133e-01 | Errors=100 | Frames=100 | AvgTime=5.26ms
  Eb/N0=5.00dB | BLER=1.0000e+00 | BER=4.0273e-01 | Errors=100 | Frames=100 | AvgTime=5.44ms
  Eb/N0=5.25dB | BLER=1.0000e+00 | BER=4.0836e-01 | Errors=100 | Frames=100 | AvgTime=4.96ms

============================================================
SC 仿真: N=512, K=256, R=0.5
============================================================
