=== 实验二、三 (MAX_FRAMES=2000) ===
单元测试通过。

SC 基线 (L=1)
  Eb/N0=1.00dB | BLER=7.4074e-01 | BER=2.3568e-01 | Errors=20 | Frames=27 | AvgTime=34.88ms
  Eb/N0=1.25dB | BLER=5.2632e-01 | BER=1.5625e-01 | Errors=20 | Frames=38 | AvgTime=34.69ms
  Eb/N0=1.50dB | BLER=4.5455e-01 | BER=1.1071e-01 | Errors=20 | Frames=44 | AvgTime=34.71ms
  Eb/N0=1.75dB | BLER=1.8519e-01 | BER=5.8015e-02 | Errors=20 | Frames=108 | AvgTime=34.76ms
  Eb/N0=2.00dB | BLER=1.1494e-01 | BER=2.5189e-02 | Errors=20 | Frames=174 | AvgTime=34.76ms
  Eb/N0=2.25dB | BLER=6.9204e-02 | BER=1.5976e-02 | Errors=20 | Frames=289 | AvgTime=34.77ms
  Eb/N0=2.50dB | BLER=3.3670e-02 | BER=5.8396e-03 | Errors=20 | Frames=594 | AvgTime=34.77ms
  Eb/N0=2.75dB | BLER=9.5000e-03 | BER=1.8594e-03 | Errors=19 | Frames=2000 | AvgTime=35.15ms
  Eb/N0=3.00dB | BLER=4.5000e-03 | BER=9.1406e-04 | Errors=9 | Frames=2000 | AvgTime=35.11ms
  Eb/N0=3.25dB | BLER=1.5000e-03 | BER=2.0312e-04 | Errors=3 | Frames=2000 | AvgTime=34.96ms
  Eb/N0=3.50dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=35.44ms
  Eb/N0=3.75dB | BLER=1.0000e-03 | BER=1.3672e-04 | Errors=2 | Frames=2000 | AvgTime=35.16ms
  Eb/N0=4.00dB | BLER=5.0000e-04 | BER=1.1719e-05 | Errors=1 | Frames=2000 | AvgTime=35.23ms
  Eb/N0=4.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=34.94ms
  Eb/N0=4.50dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=35.29ms
  Eb/N0=4.75dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=34.93ms
  Eb/N0=5.00dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=34.90ms
  Eb/N0=5.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=35.27ms

SCL 仿真: N=512, K=256, L=2
  Eb/N0=1.00dB | BLER=5.7143e-01 | BER=1.6797e-01 | Errors=20 | Frames=35 | AvgTime=166.33ms
  Eb/N0=1.25dB | BLER=3.6364e-01 | BER=7.6776e-02 | Errors=20 | Frames=55 | AvgTime=168.64ms
  Eb/N0=1.50dB | BLER=1.6393e-01 | BER=3.8550e-02 | Errors=20 | Frames=122 | AvgTime=166.01ms
  Eb/N0=1.75dB | BLER=1.0152e-01 | BER=2.1038e-02 | Errors=20 | Frames=197 | AvgTime=166.40ms
  Eb/N0=2.00dB | BLER=3.3956e-02 | BER=6.2407e-03 | Errors=20 | Frames=589 | AvgTime=168.11ms
  Eb/N0=2.25dB | BLER=1.9175e-02 | BER=3.0486e-03 | Errors=20 | Frames=1043 | AvgTime=168.63ms
  Eb/N0=2.50dB | BLER=3.5000e-03 | BER=4.8828e-04 | Errors=7 | Frames=2000 | AvgTime=168.51ms
  Eb/N0=2.75dB | BLER=1.5000e-03 | BER=1.5234e-04 | Errors=3 | Frames=2000 | AvgTime=171.90ms
  Eb/N0=3.00dB | BLER=1.5000e-03 | BER=1.6406e-04 | Errors=3 | Frames=2000 | AvgTime=169.55ms
  Eb/N0=3.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=173.12ms
  Eb/N0=3.50dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=167.19ms
  Eb/N0=3.75dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=165.54ms
  Eb/N0=4.00dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=165.41ms
  Eb/N0=4.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=165.46ms
  Eb/N0=4.50dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=165.45ms
  Eb/N0=4.75dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=165.44ms
  Eb/N0=5.00dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=165.36ms
  Eb/N0=5.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=165.40ms

SCL 仿真: N=512, K=256, L=4
  Eb/N0=1.00dB | BLER=3.9216e-01 | BER=9.3520e-02 | Errors=20 | Frames=51 | AvgTime=320.71ms
  Eb/N0=1.25dB | BLER=2.7778e-01 | BER=5.4253e-02 | Errors=20 | Frames=72 | AvgTime=320.39ms
  Eb/N0=1.50dB | BLER=8.4034e-02 | BER=1.9416e-02 | Errors=20 | Frames=238 | AvgTime=320.48ms
  Eb/N0=1.75dB | BLER=3.9139e-02 | BER=6.1307e-03 | Errors=20 | Frames=511 | AvgTime=320.44ms
  Eb/N0=2.00dB | BLER=2.3529e-02 | BER=3.4421e-03 | Errors=20 | Frames=850 | AvgTime=320.66ms
  Eb/N0=2.25dB | BLER=1.1561e-02 | BER=1.5490e-03 | Errors=20 | Frames=1730 | AvgTime=320.79ms
  Eb/N0=2.50dB | BLER=2.5000e-03 | BER=4.3359e-04 | Errors=5 | Frames=2000 | AvgTime=320.60ms
  Eb/N0=2.75dB | BLER=1.5000e-03 | BER=1.4453e-04 | Errors=3 | Frames=2000 | AvgTime=320.60ms
  Eb/N0=3.00dB | BLER=5.0000e-04 | BER=3.9063e-05 | Errors=1 | Frames=2000 | AvgTime=320.56ms
  Eb/N0=3.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.48ms
  Eb/N0=3.50dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.46ms
  Eb/N0=3.75dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.56ms
  Eb/N0=4.00dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.52ms
  Eb/N0=4.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.73ms
  Eb/N0=4.50dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.44ms
  Eb/N0=4.75dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.54ms
  Eb/N0=5.00dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.50ms
  Eb/N0=5.25dB | BLER=0.0000e+00 | BER=0.0000e+00 | Errors=0 | Frames=2000 | AvgTime=320.44ms

SCL 仿真: N=512, K=256, L=8
  Eb/N0=1.00dB | BLER=2.7778e-01 | BER=6.7274e-02 | Errors=20 | Frames=72 | AvgTime=633.03ms
  Eb/N0=1.25dB | BLER=1.7857e-01 | BER=2.7832e-02 | Errors=20 | Frames=112 | AvgTime=632.10ms
Terminated
