method,slice,raw_B,comp_B,BPB,t_compress_s,t_decompress_s,throughput_MBps,lossless
gzip,1KB,1024,346.0,2.7031,0.0016,0.0001,0.65,通过
bzip2,1KB,1024,401.0,3.1328,0.0016,0.0005,0.63,通过
xz,1KB,1024,412.0,3.2188,0.0386,0.0001,0.03,通过
zstd,1KB,1024,351.0,2.7422,0.0014,0.0002,0.71,通过
gzip,10KB,10240,3814.0,2.9797,0.0009,0.0003,11.55,通过
bzip2,10KB,10240,3824.0,2.9875,0.0019,0.0005,5.5,通过
xz,10KB,10240,3748.0,2.9281,0.0469,0.0004,0.22,通过
zstd,10KB,10240,3760.0,2.9375,0.0035,0.0,2.91,通过
gzip,100KB,102400,37099.0,2.8984,0.0088,0.0011,11.69,通过
bzip2,100KB,102400,32010.0,2.5008,0.0108,0.0044,9.53,通过
xz,100KB,102400,33756.0,2.6372,0.0865,0.0029,1.18,通过
zstd,100KB,102400,34509.0,2.696,0.0463,0.0003,2.21,通过
gzip,1MB,1048576,371078.0,2.8311,0.1057,0.0079,9.92,通过
bzip2,1MB,1048576,294143.0,2.2441,0.1118,0.0548,9.38,通过
xz,1MB,1048576,302764.0,2.3099,0.5169,0.023,2.03,通过
zstd,1MB,1048576,312628.0,2.3852,0.4589,0.0024,2.29,通过
GPTzip,1KB,1024,188.0,1.4688,17.7323,14.3363,0.0001,通过
GPTzip,10KB,10240,2335.0,1.8242,14.7182,14.725,0.0007,通过
GPTzip,100KB,102400,21519.0,1.6812,43.2535,49.9409,0.0024,通过
GPTzip,1MB,1048576,231641.0,1.7673,639.0464,1096.457,0.001641,通过
GPTzip-medium,1KB,1024,184.0,1.4375,25.1046,22.115,4.1e-05,通过
GPTzip-medium,10KB,10240,2136.0,1.6687,89.5638,43.5495,0.000114,通过
GPTzip-medium,100KB,102400,20358.0,1.5905,280.5365,247.7947,0.000365,通过(分块)
GPTzip-medium,1MB,1048576,,,,,,未跑(显存限制)
Qwen2.5-0.5B,1KB,1024,56.0,0.4375,24.41,10.57,4.2e-05,通过
Qwen2.5-0.5B,10KB,10240,941.0,0.7352,2446.64,453.38,4e-06,通过
